Name,stat_v,relax_v,dual_v,dual_gap,pc_v,pc_gap,pc_time,bc_v,bc_gap,bc_time,PR,PR_bc
20_USA-road-d.BAY.gr,9365.0,11484.333333333332,15332.56,25.1,15332.56,25.0,1.6390001773834229,15332.559999999998,25.1,10.13099980354309,38.92,39.0
20_USA-road-d.COL.gr,5357.0,6134.6,7076.52,13.31,7076.52,13.0,0.5769999027252197,7076.52,13.31,12.541000127792358,24.0,24.0
20_USA-road-d.NY.gr,6848.0,8508.694444444445,9454.47,10.0,9454.47,10.0,0.4839999675750732,9454.47,10.0,0.2519998550415039,27.57,28.0
40_USA-road-d.BAY.gr,7856.0,9394.72012469098,12664.33,25.82,12664.33,26.0,10.812000036239624,12664.33,25.82,0.7109999656677246,37.97,38.0
40_USA-road-d.COL.gr,10084.0,12274.666666666666,15058.97,18.49,14837.25,17.0,121.63299989700316,15058.97,18.49,3.6440000534057617,32.0,33.0
40_USA-road-d.NY.gr,12410.0,14131.163812154697,17330.1,18.46,17330.1,18.0,31.592999935150143,17330.1,18.46,1.4720001220703125,28.0,28.0
60_USA-road-d.BAY.gr,6965.0,9198.233749999996,10633.33,13.5,8571.81,-7.0,50.365999937057495,8571.810000000001,-7.31,2.4600000381469727,19.0,19.0
60_USA-road-d.COL.gr,16904.0,21085.8240870161,23914.23,11.83,23914.230000000003,12.0,19.2649998664856,23914.230000000003,11.83,1.2730000019073486,29.0,29.0
60_USA-road-d.NY.gr,12244.0,17726.765027444548,31775.84,44.21,15809.649999999998,-12.0,260.92499995231634,16299.129999999996,-8.76,6.509999990463257,23.0,25.0
80_USA-road-d.BAY.gr,8818.0,9610.356774193557,10857.06,11.48,10447.73,8.0,302.3050000667572,10857.060000000003,11.48,71.9850001335144,16.0,19.0
80_USA-road-d.COL.gr,10892.0,12160.728054605965,14277.49,14.83,13622.15,11.0,300.5989999771118,14277.49,14.83,79.06699991226196,20.0,24.0
80_USA-road-d.NY.gr,12244.0,17048.62530293942,31775.84,46.35,15809.65,-8.0,301.8310000896454,16299.13,-4.6,20.89199995994568,23.0,25.0
100_USA-road-d.BAY.gr,8818.0,9476.716666666667,10857.06,12.71,9884.89,4.0,194.11600017547607,10857.06,12.71,80.65300011634827,11.0,19.0
100_USA-road-d.COL.gr,18930.0,22575.212817694475,25320.15,10.84,24397.540000000005,7.0,180.22199988365173,25320.15,10.84,80.1710000038147,22.0,25.0
100_USA-road-d.NY.gr,15274.0,16992.956086956518,33931.04,49.92,18951.84,10.0,180.12700009346008,20939.94,18.85,80.09299993515015,19.0,27.0
120_USA-road-d.BAY.gr,10034.0,10776.145026162352,12218.98,11.81,11100.89,3.0,180.18600010871887,12218.98,11.81,80.16400003433228,10.0,18.0
120_USA-road-d.COL.gr,18930.0,21771.628627806083,25582.6,14.9,24029.78,9.0,184.1210000514984,25320.15,14.01,80.2480001449585,21.0,25.0
120_USA-road-d.NY.gr,18916.0,20032.308309768632,30613.08,34.56,23352.95,14.0,182.06100010871887,24898.550000000003,19.54,37.99799990653992,19.0,24.0
140_USA-road-d.BAY.gr,12169.0,13136.244267765163,15643.66,16.03,13722.86,4.0,184.0050001144409,14957.820000000002,12.18,213.2069997787476,11.0,19.0
140_USA-road-d.COL.gr,18301.0,20670.110320284697,24651.02,16.15,24145.58,14.0,181.8050000667572,24651.02,16.15,92.93700003623962,24.0,26.0
140_USA-road-d.NY.gr,25498.0,29263.67175625223,33079.16,11.53,31533.56,7.0,181.1449999809265,33079.16,11.53,118.56900000572205,19.0,23.0
160_USA-road-d.BAY.gr,10983.0,11680.186666666666,13395.74,12.81,11875.52,2.0,180.8639998435974,13395.740000000002,12.81,80.3050000667572,8.0,18.0
160_USA-road-d.COL.gr,18301.0,20670.110320284697,24651.02,16.15,23575.88,12.0,182.23800015449524,24651.020000000008,16.15,80.30200004577637,22.0,26.0
160_USA-road-d.NY.gr,19964.0,20884.16590824715,31661.08,34.04,22342.16,7.0,181.6180000305176,25946.55,19.51,80.4449999332428,11.0,23.0
180_USA-road-d.BAY.gr,10983.0,11606.066666666666,13395.74,13.36,11875.52,2.0,183.0629999637604,13395.740000000002,13.36,80.2960000038147,8.0,18.0
180_USA-road-d.COL.gr,22841.0,26653.82560503949,33704.64,20.92,29167.85,9.0,182.96000003814697,30779.67,13.4,80.79099988937378,22.0,26.0
